state_county_fips,b_pct_totalchildren_in_femaleonlyhouseholds,b_pct_totalchildrent_in_femalehouseholds_inlaborforce,b_pct_womenworkingparttime,b_pct_women15to50_withbirth12m,b_pct_totalchildren_per_women15to50,b_pct_education_hsplus,b_pct_education_less_than_hs,b_householdincome_clipped,b_householdincome_scaled,b_pct_foreign_born,b_pct_families_150_pct_below_poverty,b_pct_singleparents_with_kids,b_pct_nointernet,b_pct_noplumbing,b_pct_nocar,b_pct_families_below_poverty,b_pct_crowded_rooms,b_pct_owner_occupied_housing,b_pct_employment_16plus_whitecollar,b_pct_employment_over16,b_pct_employment_inlaborforce,b_pct_employment_primeage,b_pct_unemployment_over16,b_pct_unemployment_inlaborforce,b_pct_unemployment_primeage,b_pct_housing_vacant,b_pct_acctandauditfemale,i_adi_poverty,i_adi_housing,i_adi_employment,i_adi_education,i_adi_manual,i_adi,i_dci,dci_population,dci_county_type,i_vitality,metro_pct,i_sdi
01001,0.14110582937202903,0.13242224316682374,0.22208663819402075,0.04334920963622558,0.8277075999171671,0.902789020531312,0.09721097946868795,69841.0,0.2760019951034506,0.06414776081639538,0.2842758821601544,0.1144163743728633,0.0006659858810993207,0.022845821034329385,0.0376504018114816,0.08140870230955723,0.010788971273808996,0.7491009190605159,0.6010158441361534,0.9855182285088827,0.9745844107868489,0.9398962236955896,0.014481771491117285,0.02541558921315109,0.06010377630441044,0.0892806599005297,0.45,0.08101299611131357,-0.12850026923317223,-0.054516364848619374,-0.08898425932739715,-0.1909878972978752,70.88888888888889,18.9473684210526,59285.0,Small town,0.06487007173564015,0.2222222222222222,-0.18341847
01003,0.16041173255602112,0.15706039819307344,0.27011838753184475,0.039538320220456086,0.8768720795558929,0.9173139986510687,0.08268600134893134,75019.0,0.5659385285820132,0.10070224426431057,0.24797965823545687,0.09188309629974008,0.0014792586800786121,0.01504847569990196,0.021544346062002073,0.07341352778164817,0.01009065742482196,0.7753534371632045,0.6069589981379386,0.9814661006521471,0.96805718779546,0.9471813923437248,0.018533899347852836,0.03194281220454003,0.05281860765627522,0.2635895360961111,0.808,0.02432659078444277,-0.21473238576713477,-0.05453706133649881,-0.09197495232225504,-0.3369178086414459,51.30769230769231,23.030303030303,239945.0,Small urban,0.32933949450146,0.3333333333333333,-1.0888273
01005,0.5224390243902439,0.39449339207048456,0.20128824476650564,0.050075545003237645,0.8849557522123894,0.7781370546857272,0.22186294531427275,44290.0,-1.1546987323802795,0.029890536010017368,0.5210777534906544,0.18744493392070485,0.0,0.07408989916253632,0.11112334801762115,0.17662771285475792,0.007819383259911895,0.6748898678414097,0.5230247779336138,0.9744235421912804,0.9429138197046506,0.8065248226950354,0.025576457808719696,0.05708618029534935,0.19347517730496455,0.22406426251922748,,0.2556582469882376,0.1406898089153222,-0.04455361558895057,-0.06331841955979124,0.28847602075481804,89.85,99.3939393939394,24757.0,Rural,-0.774958769715733,0.6666666666666666,1.7168516
01007,0.19411586290567182,0.20152184585174276,0.2506731946144431,0.06795265234546252,0.7227093380096449,0.8034021718661729,0.1965978281338271,51215.0,-0.7669408153584475,0.03688154568436259,0.3856145792943001,0.18121780478140273,0.0021133271694624223,0.060946094609460946,0.0652489763571523,0.16014437689969604,0.011887465328226127,0.7717606656980583,0.6106173717265079,0.9485035211267605,0.90016,0.8619869125520524,0.05149647887323944,0.09984,0.1380130874479476,0.1671067106710671,,0.19440218774231882,0.08670941884435163,-0.04927337241663705,-0.068520507187245,0.1633177269827884,82.5625,83.1578947368421,22152.0,Rural,-0.5937249113797359,0.1111111111111111,0.46847874
01009,0.1875166711122966,0.1850079744816587,0.25780854296809047,0.04042348411934552,0.9020692974013474,0.8269620160523041,0.17303798394769587,61096.0,-0.21366486184325287,0.033512109559468393,0.33378861105274216,0.12954452382035764,0.004823224279929017,0.045093373129512365,0.04299949947672567,0.102848,0.02088547117440961,0.7950584702188652,0.5936547628350395,0.9665323176264534,0.9416482707873436,0.9866103915005094,0.0334676823735466,0.05835172921265636,0.013389608499490557,0.11358044609365547,0.9493670886075949,0.12798626564413193,0.04834214432780046,-0.0511024258260953,-0.07337147910516942,0.05185450504066766,74.44186046511628,52.280701754386,59292.0,Rural,-0.1390858307995583,0.1111111111111111,-0.21150355
01011,0.6906854130052724,0.5652400835073069,0.22475189725627553,0.060526315789473685,0.8984210526315789,0.7404445649227432,0.25955543507725676,36723.0,-1.5784047479909948,0.018607856650585803,0.47996729354047424,0.245583550535766,0.004633651896901245,0.04106280193236715,0.12626701419055894,0.19461502125649505,0.0069504778453518675,0.6350999131190269,0.5314743235781336,0.9726193360794766,0.9412681912681913,0.7662259615384616,0.027380663920523383,0.058731808731808735,0.23377403846153844,0.24176548089591568,,0.3319103327737646,0.17698354383251436,-0.04521363387981279,-0.05555753591759284,0.4081227068088733,96.5,99.4577352472089,10157.0,Rural,-0.7861119677277753,0.8888888888888888,1.1248314
01013,0.4144486692015209,0.3812566560170394,0.24590976698066436,0.011973180076628353,0.7557471264367817,0.8759495594044363,0.1240504405955637,44881.0,-1.1216063238662142,0.023608230977827403,0.4343398157625384,0.1392178463233269,0.0008262186725419994,0.13596179250076212,0.05879922886257229,0.18450184501845018,0.0015147342329936656,0.6841090608647755,0.5342868600454485,0.9639550264550265,0.9320956890107152,0.8485898070262247,0.036044973544973546,0.06790431098928483,0.15141019297377534,0.2620668631236663,,0.21985495234311597,0.13329208657276426,-0.04472092612856632,-0.08345801428137344,0.22496809850594046,89.6842105263158,92.2169059011164,18807.0,Rural,-0.792532707285505,0.6666666666666666,0.80245554
01015,0.3180903077365545,0.27255303975753253,0.28449541648478116,0.05043321299638989,0.7531407942238267,0.8608620448446462,0.13913795515535377,55826.0,-0.5087528362410948,0.045866662074547315,0.3700041240071005,0.1425152354570637,0.0,0.041880197480805695,0.06382271468144045,0.12456278106931258,0.006559556786703601,0.7038670360110804,0.5695982316461655,0.9643806880184771,0.9356197698244002,0.8700494188069883,0.03561931198152288,0.06438023017559985,0.12995058119301173,0.1529162208330987,0.609375,0.16269738475006226,0.05526893220939208,-0.04833834640856425,-0.08035149503351266,0.08927647551737744,81.58585858585859,81.658692185008,116141.0,Small urban,-0.4768948818384988,0.3333333333333333,0.68523514
01017,0.29004722121322196,0.26474164133738604,0.23169267707082833,0.07656765676567656,0.7268646864686469,0.8362195719653651,0.16378042803463488,49295.0,-0.8744491475868832,0.01825834542815675,0.4015950215992508,0.1585811163275952,0.003502496460242939,0.0370122359530042,0.07765109173559878,0.12286193404136389,0.003278932856397645,0.7098889634100902,0.5697482459760628,0.9726948951325682,0.9503824279270445,0.9459717905809227,0.027305104867431738,0.04961757207295548,0.05402820941907727,0.18311316734644184,,0.20937979847921706,0.07001246960070331,-0.04957187331771899,-0.07527760986766868,0.15454278489453266,84.7,68.5167464114833,34450.0,Rural,-0.6253010991800279,0.6666666666666666,0.99981523
01019,0.17847025495750707,0.1760752688172043,0.2382118799755052,0.05777417393067099,0.7871477802554226,0.8386856260318475,0.1613143739681525,50769.0,-0.7919141050323445,0.054511576276562,0.3833248601931876,0.10680538322038752,0.003436098119690751,0.05046716224510673,0.03092488307721676,0.12618803918701565,0.01202634341891763,0.7945022430084948,0.6389102810935695,0.982538109396385,0.9656069901468675,0.8826291079812206,0.017461890603615082,0.03439300985313255,0.11737089201877937,0.285480461024347,,0.18576801570236615,0.07419143078503906,-0.057344485865145504,-0.07578537039995739,0.1268295902223023,77.84,84.6251993620415,25224.0,Rural,-0.5685904034753836,0.8888888888888888,-0.23721878
