,Population Number,Households Number,"Over 15, and never married","Over 15, and divorced",Number of women 15 to 50 years old who had a birth in the past 12 months,Number of grandparents living with own grandchildren under 18 years,Bachelor's degree or higher,Civilian veterans,Residence a year ago - Different state,Residence a year ago - Abroad,Born in United States State of residence,Born in United States but Different state,Foreign born,LANGUAGE SPOKEN AT HOME English only,LANGUAGE SPOKEN AT HOME Language other than English,Total households With a computer,Total households With a broadband Internet subscription,Average household size,Average family size
Tennessee,6975218,2770395,0.312,0.1185,86681,154492,0.305,0.073,0.032,0.003,0.58,0.358,0.053,0.925,0.075,0.94,0.88,2.46,3.06
Texas,29527941,10796247,0.335,0.0995,434357,680536,0.331,0.064,0.02,0.006,0.589,0.222,0.172,0.651,0.349,0.959,0.901,2.68,3.27
Utah,3337975,1101499,0.3145,0.0865,49297,65573,0.368,0.048,0.031,0.005,0.61,0.295,0.083,0.847,0.153,0.976,0.935,2.99,3.51
Vermont,645570,270163,0.3295,0.114,5749,7397,0.444,0.061,0.05,0.003,0.476,0.473,0.042,0.944,0.056,0.945,0.892,2.29,2.82
Virginia,8642274,3331461,0.3335,0.0995,96332,166649,0.418,0.097,0.032,0.005,0.495,0.361,0.124,0.835,0.165,0.951,0.906,2.52,3.12
Washington,7738692,3022255,0.321,0.1135,90722,136537,0.39,0.082,0.029,0.006,0.469,0.364,0.148,0.792,0.208,0.969,0.935,2.51,3.08
West Virginia,1782959,722201,0.287,0.1335,18169,37288,0.241,0.076,0.025,0.001,0.68,0.298,0.016,0.977,0.023,0.903,0.85,2.41,2.99
Wisconsin,5895908,2449970,0.332,0.108,63821,60713,0.325,0.066,0.021,0.002,0.708,0.232,0.051,0.913,0.087,0.943,0.896,2.35,2.94
Wyoming,578803,242763,0.274,0.123,7185,7428,0.292,0.092,0.048,0.004,0.42,0.537,0.034,0.93,0.07,0.954,0.903,2.33,2.95
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
