Sample data from Morgantown Zillow Sales,,,,,,,,,,,,,,,,,,,,
Created 11/1/23 by NDG using Zillow Data Explorer,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country,id,longitude,latitude
https://www.zillow.com/homedetails/1272-Lazzelle-Union-Rd-Maidsville-WV-26541/98319286_zpid/,,1100,7/27/2021,444,sqft,2.48,0.31,acres,1,1,,,1272 Lazzelle Union Rd,Maidsville,26541,WV,USA,25,-79.980575529971,39.688926253623
https://www.zillow.com/homedetails/2134A-Stewartstown-Rd-Morgantown-WV-26508/2064031855_zpid/,,221500,5/14/2021,500,sqft,443,10,acres,1,1,,,2134A Stewartstown Rd,Morgantown,26508,WV,USA,26,-79.909529617962,39.693993235987
https://www.zillow.com/homedetails/716-718-720-Monongalia-Ave-Morgantown-WV-26505/22898919_zpid/,,185000,4/20/2021,800,sqft,231.25,1.84,acres,1,1,,,716 & 718 720 Monongalia Ave,Morgantown,26505,WV,USA,27,-79.945848449832,39.631126075376
https://www.zillow.com/homedetails/707-Tyrone-Avery-Rd-Morgantown-WV-26508/337643462_zpid/,,10000,4/6/2021,1802,sqft,5.55,2.62,acres,1,1,,,707 Tyrone Avery Rd,Morgantown,26508,WV,USA,28,-79.86203947399,39.64410310468
https://www.zillow.com/homedetails/2-Cool-Rd-Morgantown-WV-26501/22878578_zpid/,,85000,12/16/2020,1075,sqft,79.07,0.53,acres,1,1,,,2 Cool Rd,Morgantown,26501,WV,USA,29,-80.00413945422,39.682336279988
https://www.zillow.com/homedetails/1257-Jersey-Ave-Morgantown-WV-26505/22900105_zpid/,,205000,10/31/2023,1103,sqft,185.86,8712,sqft,2,1,,,1257 Jersey Ave,Morgantown,26505,WV,USA,30,-79.932395127125,39.63407225685
https://www.zillow.com/homedetails/168-Diamond-Ave-Morgantown-WV-26505/22900697_zpid/,,85000,8/21/2023,750,sqft,113.33,0.41,acres,2,2,,,168 Diamond Ave,Morgantown,26505,WV,USA,31,-79.949546526469,39.675942264091
https://www.zillow.com/homedetails/800-University-Ave-Morgantown-WV-26501/22893580_zpid/,,285000,8/1/2023,949,sqft,300.32,1.49,acres,2,1,,,800 University Ave,Morgantown,26501,WV,USA,32,-79.961576903048,39.625453906904
https://www.zillow.com/homedetails/205-Newport-Ave-Morgantown-WV-26501/22909672_zpid/,,221000,7/19/2023,1530,sqft,144.44,4000,sqft,2,2,,,205 Newport Ave,Morgantown,26501,WV,USA,33,-79.971099846514,39.636153007665
https://www.zillow.com/homedetails/519-Clark-St-Morgantown-WV-26501/22895003_zpid/,,140000,7/13/2023,1145,sqft,122.27,2199.78,sqft,2,2,,,519 Clark St,Morgantown,26501,WV,USA,34,-79.949653050209,39.626910963209
