https://worldpopulationreview.com/states,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
statename,religious_adults_rate,democratic_votes_rate,life_expectancy,republican_votes_rate,education_hs_or_over_rate,education_bs_or_over_rate,people_in_poverty,smoking_rate,total_guns,married_rate,divorced_rate,widowed_rate,separated_rate,never_married_rate,obesity_rate,population_in_2021,median_age
Tennessee,0.73,0.381722296,73.8,0.618277704,88.2,28.2,965213,19.9,99159,49.2,12.2,6.3,2,30.3,36.5,6967314,38.8
Texas,0.64,0.471692788,76.5,0.528307212,84.4,30.7,3984260,14.7,588696,48.9,10.5,5,2.3,33.3,34,29545499,34.8
Utah,0.64,0.393063949,78.6,0.606936051,93,34.7,283360,7.9,72856,55.8,9,3.6,1.3,30.3,29.2,3322389,31.1
Vermont,0.34,0.682991866,78.8,0.317008134,93.5,39.7,64700,15.1,5872,48.8,12.5,5.8,1.1,31.8,26.6,644811,42.8
Virginia,0.61,0.55154687,77.6,0.44845313,90.3,39.5,826708,14,307822,49.7,10.1,5.7,2.1,32.4,31.9,8694430,38.4
Washington,0.45,0.599255032,79.2,0.400744968,91.7,36.7,751044,12.6,91835,51,11.5,4.8,1.4,31.3,28.3,7803355,37.8
West Virginia,0.69,0.302014677,72.8,0.697985323,87.6,21.3,300152,23.8,35264,49.9,13.2,7.8,1.4,27.6,39.7,1787788,42.7
Wisconsin,0.45,0.503190633,77.7,0.496809367,92.6,30.8,620947,15.4,64878,50.4,10.9,5.5,0.9,32.3,34.2,5914391,39.6
Wyoming,0.54,0.275195656,76.3,0.724804344,93.6,28.2,61006,18.4,132806,54.3,12.2,5.3,1.3,26.9,29.7,578173,38
District of Columbia,0.1,,,,,,,,,,,,,,,,
